B,alg,inst,d,banda,h0,semilla,exito,evals,cruda,simple,t
100,HC,8,10,0,10,3,1,33,10,10,2.0368000150483567e-05
100,HC,8,10,0,10,4,1,19,10,10,1.0550000297371298e-05
100,HC,8,10,0,10,5,1,19,10,10,1.5437999991263496e-05
100,HC,8,10,0,10,6,1,21,10,10,1.112100017053308e-05
100,HC,8,10,0,10,7,1,19,10,10,1.0960000054183183e-05
100,HC,8,10,0,10,8,1,19,10,10,1.0332999863749137e-05
100,HC,8,10,0,10,9,1,19,10,10,1.0528000075282762e-05
100,HC,9,8,0,8,0,1,18,8,8,1.0099000064656138e-05
100,HC,9,8,0,8,1,1,18,8,8,9.490000138612231e-06
100,HC,9,8,0,8,2,1,41,8,8,3.80749997930252e-05
100,HC,9,8,0,8,3,1,18,8,8,1.0031999863713281e-05
100,HC,9,8,0,8,4,1,29,8,8,2.205400005550473e-05
100,HC,9,8,0,8,5,1,58,8,8,5.141200017533265e-05
100,HC,9,8,0,8,6,1,18,8,8,1.0262000159855234e-05
100,HC,9,8,0,8,7,1,18,8,8,1.0461999863764504e-05
100,HC,9,8,0,8,8,1,18,8,8,9.38400035011e-06
100,HC,9,8,0,8,9,1,39,8,8,2.999500020450796e-05
100,HC,10,10,0,10,0,1,97,10,10,5.7638999805931235e-05
100,HC,10,10,0,10,1,1,29,10,10,1.6814999980852008e-05
100,HC,10,10,0,10,2,1,51,10,10,2.88479996015667e-05
100,HC,10,10,0,10,3,1,21,10,10,1.0613000085868407e-05
100,HC,10,10,0,10,4,1,21,10,10,1.0958000075333985e-05
100,HC,10,10,0,10,5,1,21,10,10,1.1069000265706563e-05
100,HC,10,10,0,10,6,1,56,10,10,3.1772000056662364e-05
100,HC,10,10,0,10,7,0,100,,,5.425199969977257e-05
100,HC,10,10,0,10,8,1,59,10,10,3.2868999824131606e-05
100,HC,10,10,0,10,9,1,59,10,10,3.3348999750160147e-05
100,HC,11,10,0,8,0,1,24,10,10,1.5579999853798654e-05
100,HC,11,10,0,8,1,1,41,10,10,2.9085999813105445e-05
100,HC,11,10,0,8,2,1,35,10,10,2.367999968555523e-05
100,HC,11,10,0,8,3,1,19,10,10,1.2229999811097514e-05
100,HC,11,10,0,8,4,1,24,10,10,1.5082000118127326e-05
100,HC,11,10,0,8,5,1,24,10,10,1.5027000245027011e-05
100,HC,11,10,0,8,6,1,25,10,10,1.7305000255873892e-05
100,HC,11,10,0,8,7,1,24,10,10,1.5267999970092205e-05
100,HC,11,10,0,8,8,1,67,10,10,3.9710000237391796e-05
100,HC,11,10,0,8,9,1,19,10,10,1.6696999864507234e-05
100,HC,12,10,0,10,0,1,21,10,10,1.1084000107075553e-05
100,HC,12,10,0,10,1,1,21,10,10,1.101300040318165e-05
100,HC,12,10,0,10,2,1,64,10,10,7.094300008247956e-05
100,HC,12,10,0,10,3,1,33,10,10,2.3423000129696447e-05
100,HC,12,10,0,10,4,1,58,10,10,3.5368000226299046e-05
100,HC,12,10,0,10,5,1,21,10,10,1.1207000170543324e-05
100,HC,12,10,0,10,6,1,48,10,10,3.371199954926851e-05
100,HC,12,10,0,10,7,0,100,,,6.740600019838894e-05
100,HC,12,10,0,10,8,1,21,10,10,1.1281000297458377e-05
100,HC,12,10,0,10,9,0,100,,,8.155899968187441e-05
100,HC,13,8,0,6,0,1,16,8,8,1.2015999800496502e-05
100,HC,13,8,0,6,1,1,19,8,8,1.4448000001721084e-05
100,HC,13,8,0,6,2,1,27,8,8,1.7065000065485947e-05
100,HC,13,8,0,6,3,1,16,8,8,1.0937000297417399e-05
100,HC,13,8,0,6,4,1,16,8,8,1.0295999800291611e-05
100,HC,13,8,0,6,5,1,33,8,8,2.1628000013151905e-05
100,HC,13,8,0,6,6,1,27,8,8,1.6243000118265627e-05
100,HC,13,8,0,6,7,1,19,8,8,1.341600000159815e-05
100,HC,13,8,0,6,8,1,72,8,8,4.353200029072468e-05
100,HC,13,8,0,6,9,1,36,8,8,2.4096000288409414e-05
100,HC,14,10,0,10,0,1,23,10,10,1.1815000107162632e-05
100,HC,14,10,0,10,1,1,23,10,10,1.1597999673540471e-05
100,HC,14,10,0,10,2,1,87,14,14,5.0688999635895016e-05
